,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
195,195,195,0,1e-06,1e-12,0.001,0.058150158,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,54,8
196,196,196,0,1e-06,1e-12,1e-06,0.057405511,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,80,8
197,197,197,0,1e-06,1e-12,1e-09,0.054975299000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,87,8
198,198,198,0,1e-06,1e-12,1e-12,0.054975299000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,87,8
199,199,199,0,1e-06,1e-12,0.0,0.054975299000000005,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,87,8
200,200,200,0,1e-09,0.001,0.001,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
201,201,201,0,1e-09,0.001,1e-06,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
202,202,202,0,1e-09,0.001,1e-09,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
203,203,203,0,1e-09,0.001,1e-12,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
204,204,204,0,1e-09,0.001,0.0,0.075335901,0,diff_select,1.5,0.15,1.5,0.15,1.5,1.5,10,8
